device,activity models,first party,support party,third party
amazon-plug,2,2,0,0
aqara-hub,1,1,0,0
bulb1,1,1,0,0
dlink-camera,2,2,0,0
echoshow5,4,4,0,0
echospot,2,2,0,0
google-home-mini,1,1,0,0
gosund-bulb1,1,1,0,0
govee-led1,1,0,1,0
icsee-doorbell,2,0,2,0
ikea-hub,1,0,1,0
ikettle,1,0,1,0
lefun-cam-wired,3,0,1,2
magichome-strip,1,1,0,0
meross-dooropener,1,1,0,0
microseven-camera,1,1,0,0
nest-tstat,1,1,0,0
ring-camera,3,0,3,0
ring-doorbell,1,1,0,0
smartlife-bulb,2,1,0,1
smartthings-hub,1,1,0,0
switchbot-hub,1,0,1,0
t-wemo-plug,2,1,1,0
tplink-bulb,2,2,0,0
tplink-plug,1,1,0,0
tuya-camera,2,2,0,0
ubell-doorbell,2,0,2,0
wansview-cam-wired,0,0,0,0
wyze-cam,1,1,0,0
yi-camera,3,0,3,0
