device,aperiodic domain count,first party,support party,third party
amazon-plug,7.0,7.0,0.0,0.0
aqara-hub,1.0,1.0,0.0,0.0
brewer,1.0,0.0,0.0,1.0
bulb1,2.0,2.0,0.0,0.0
dlink-camera,0.0,0.0,0.0,0.0
dlink-mov,2.0,2.0,0.0,0.0
echodot,9.0,9.0,0.0,0.0
echodot3a,8.0,8.0,0.0,0.0
echodot4b,9.0,7.0,0.0,2.0
echoflex1,11.0,10.0,0.0,1.0
echoplus,16.0,16.0,0.0,0.0
echoshow5,28.0,27.0,0.0,1.0
echospot,41.0,40.0,0.0,1.0
fridge,15.0,8.0,1.0,6.0
google-home-mini,12.0,12.0,0.0,0.0
google-nest-mini1,15.0,15.0,0.0,0.0
gosund-bulb1,2.0,0.0,0.0,2.0
govee-led1,2.0,0.0,2.0,0.0
homepod-mini1,19.0,14.0,4.0,1.0
homepod,23.0,20.0,3.0,0.0
icsee-doorbell,0.0,0.0,0.0,0.0
ikea-hub,2.0,1.0,1.0,0.0
ikettle,2.0,0.0,1.0,1.0
keyco-air,1.0,0.0,0.0,1.0
lefun-cam-wired,0.0,0.0,0.0,0.0
magichome-strip,2.0,2.0,0.0,0.0
meross-dooropener,0.0,0.0,0.0,0.0
microseven-camera,0.0,0.0,0.0,0.0
microwave,2.0,2.0,0.0,0.0
nest-tstat,15.0,15.0,0.0,0.0
philips-bulb,1.0,0.0,0.0,1.0
ring-camera,2.0,2.0,0.0,0.0
ring-chime1,2.0,2.0,0.0,0.0
ring-doorbell,1.0,1.0,0.0,0.0
smartlife-bulb,3.0,3.0,0.0,0.0
smartthings-hub,3.0,3.0,0.0,0.0
sousvide,0.0,0.0,0.0,0.0
switchbot-hub,0.0,0.0,0.0,0.0
t-philips-hub,2.0,2.0,0.0,0.0
t-wemo-plug,1.0,0.0,1.0,0.0
thermopro-sensor,1.0,1.0,0.0,0.0
tplink-bulb,4.0,2.0,0.0,2.0
tplink-plug,1.0,0.0,0.0,1.0
tuya-camera,0.0,0.0,0.0,0.0
ubell-doorbell,0.0,0.0,0.0,0.0
wansview-cam-wired,1.0,0.0,0.0,1.0
wink-hub2,0.0,0.0,0.0,0.0
wyze-cam,14.0,4.0,8.0,2.0
yi-camera,0.0,0.0,0.0,0.0
