device,periodic models,first party,support party,third party
amazon-plug,6,4,1,1
aqara-hub,1,1,0,0
brewer,1,0,0,1
bulb1,1,1,0,0
dlink-camera,2,1,1,0
dlink-mov,3,2,1,0
echodot,21,17,2,2
echodot3a,15,12,1,2
echodot4b,19,12,3,4
echoflex1,16,12,1,3
echoplus,22,18,2,2
echoshow5,32,26,3,3
echospot,27,23,4,0
fridge,21,10,5,6
google-home-mini,21,20,0,1
google-nest-mini1,23,22,1,0
gosund-bulb1,1,1,0,0
govee-led1,4,1,3,0
homepod-mini1,27,23,4,0
homepod,26,21,5,0
icsee-doorbell,9,0,5,4
ikea-hub,5,1,3,1
ikettle,1,0,0,1
keyco-air,2,0,1,1
lefun-cam-wired,2,0,0,2
magichome-strip,2,0,1,1
meross-dooropener,4,1,3,0
microseven-camera,3,1,1,1
microwave,3,2,1,0
nest-tstat,7,5,2,0
philips-bulb,1,0,0,1
ring-camera,5,3,2,0
ring-chime1,5,3,1,1
ring-doorbell,3,2,1,0
smartlife-bulb,2,2,0,0
smartthings-hub,3,2,1,0
sousvide,1,0,1,0
switchbot-hub,1,0,1,0
t-philips-hub,13,2,2,9
t-wemo-plug,3,1,2,0
thermopro-sensor,2,2,0,0
tplink-bulb,3,2,1,0
tplink-plug,4,2,2,0
tuya-camera,2,2,0,0
ubell-doorbell,9,0,5,4
wansview-cam-wired,5,0,3,2
wink-hub2,6,0,1,5
wyze-cam,9,3,1,5
yi-camera,5,1,4,0
